Location,year,month,day,hour,PM2.5,O3,TEMPERATURE,PRESSURE,DEWPOINT,RAIN
Wanshouxigong,2013,3,7,12,389,8,16.1,1000.7,-2.4,0
Wanshouxigong,2013,3,7,13,366,25,17.2,999.3,-2.5,0
Wanshouxigong,2013,3,7,14,294,62,18.8,997.9,-2.8,0
Wanshouxigong,2013,3,7,15,338,70,18.4,996.7,-1.5,0
Wanshouxigong,2013,3,7,16,190,94,18.2,996.1,-1.1,0
Wanshouxigong,2013,3,7,17,159,94,15.1,995.8,-1.1,0
Wanshouxigong,2013,3,7,18,208,94,10.9,996.4,-0.6,0
Wanshouxigong,2013,3,7,19,197,2,10.5,996.8,-0.6,0
Wanshouxigong,2013,3,7,20,153,94,12.9,996.9,-2.6,0
Wanshouxigong,2013,3,7,21,193,94,11,996.8,-1.4,0
Wanshouxigong,2013,3,7,22,304,94,8.1,997.1,-1.4,0
Wanshouxigong,2013,3,7,23,400,94,8.8,997.2,-1.1,0
Wanshouxigong,2013,3,8,0,410,94,5,997.3,-1.9,0
Wanshouxigong,2013,3,8,1,421,94,4.9,997.5,-1.8,0
Wanshouxigong,2013,3,8,2,379,94,6.1,997.4,-1.8,0
Wanshouxigong,2013,3,8,3,316,94,3.9,997.3,-2.1,0
Wanshouxigong,2013,3,8,4,282,94,3.4,997.6,-2,0
Wanshouxigong,2013,3,8,5,287,94,3,998.3,-2.1,0
Wanshouxigong,2013,3,8,6,289,94,2.9,998.9,-1.8,0
Wanshouxigong,2013,3,8,7,338,94,7.2,999.5,-0.3,0
Wanshouxigong,2013,3,8,8,330,94,12.3,999.9,-0.3,0
Wanshouxigong,2013,3,8,9,340,94,16.2,1000.2,-1,0
Wanshouxigong,2013,3,8,10,360,94,18.7,999.9,-1.2,0
Wanshouxigong,2013,3,8,11,284,94,21.1,999.6,-3.5,0
Wanshouxigong,2013,3,8,12,174,94,22.2,998.4,-3.3,0
Wanshouxigong,2013,3,8,13,156,94,22.9,997.4,-3.5,0
Wanshouxigong,2013,3,8,14,138,94,16.7,997.5,1.1,0
Wanshouxigong,2013,3,8,15,264,94,13.5,998.2,0.5,0
Wanshouxigong,2013,3,8,16,181,86,11.5,999,-0.7,0
Wanshouxigong,2013,3,8,17,115,86,9.7,999,-1.1,0
Wanshouxigong,2013,3,8,18,56,86,8.7,999.6,-1.7,0
Wanshouxigong,2013,3,8,19,43,86,8.6,999.6,-0.7,0
Wanshouxigong,2013,3,8,20,55,86,7.5,999.2,-2.3,0
Wanshouxigong,2013,3,8,21,49,86,7.4,998.9,-2.1,0
Wanshouxigong,2013,3,8,22,50,86,6.7,998.1,-3.6,0
Wanshouxigong,2013,3,8,23,45,86,5.9,996.7,-4.6,0
Wanshouxigong,2013,3,9,0,45,86,3.9,995.4,-4.1,0
Wanshouxigong,2013,3,9,1,55,86,3.4,994.3,-3.9,0
Wanshouxigong,2013,3,9,2,61,86,2.4,993.1,-3.7,0
Wanshouxigong,2013,3,9,3,68,86,1.6,992,-3.5,0
Wanshouxigong,2013,3,9,4,70,86,1,991.1,-3.7,0
Wanshouxigong,2013,3,9,5,73,86,1.1,991.2,-3.2,0
Wanshouxigong,2013,3,9,6,77,86,3.8,991.3,-3.3,0
Wanshouxigong,2013,3,9,7,102,86,5.5,991.7,-2.6,0
Wanshouxigong,2013,3,9,8,103,86,9.7,992.8,-2.3,0
Wanshouxigong,2013,3,9,9,112,86,18,995.2,-0.8,0
Wanshouxigong,2013,3,9,10,141,86,15.7,997.1,-5.4,0
Wanshouxigong,2013,3,9,11,104,86,13.8,1000.5,-10.2,0
Wanshouxigong,2013,3,9,12,69,86,12,1003.2,-13.9,0
Wanshouxigong,2013,3,9,13,72,86,10.5,1005.8,-16.8,0
Wanshouxigong,2013,3,9,14,68,81,10.5,1006.7,-17.8,0
Wanshouxigong,2013,3,9,15,40,81,10.5,1008.2,-17.8,0
Wanshouxigong,2013,3,9,16,20,81,11.1,1009.7,-18.3,0
Wanshouxigong,2013,3,9,17,18,81,9.7,1011.7,-18.4,0
Wanshouxigong,2013,3,9,18,17,81,8.1,1014.7,-18.7,0
Wanshouxigong,2013,3,9,19,13,81,7,1016.7,-18.8,0
Wanshouxigong,2013,3,9,20,15,81,6,1018.7,-18.8,0
Wanshouxigong,2013,3,9,21,12,81,5.3,1019.6,-18.6,0
Wanshouxigong,2013,3,9,22,16,81,4.6,1020.2,-18.4,0
Wanshouxigong,2013,3,9,23,3,81,1.8,1020.4,-15.7,0
Wanshouxigong,2013,3,10,0,11,81,4.1,1020.1,-18.2,0
Wanshouxigong,2013,3,10,1,3,81,2.6,1020.3,-18.8,0
Wanshouxigong,2013,3,10,2,3,81,-0.4,1020.3,-15.9,0
Wanshouxigong,2013,3,10,3,3,81,-1.9,1020.7,-12.6,0
Wanshouxigong,2013,3,10,4,16,81,-1,1021.4,-13.6,0
Wanshouxigong,2013,3,10,5,24,81,-3.2,1021.6,-14.3,0
Wanshouxigong,2013,3,10,6,32,81,-2.6,1022.1,-13.8,0
Wanshouxigong,2013,3,10,7,28,81,3.2,1022.8,-15.5,0
Wanshouxigong,2013,3,10,8,18,81,5.5,1023.1,-15.7,0
Wanshouxigong,2013,3,10,9,29,81,6.7,1022.6,-16,0
Wanshouxigong,2013,3,10,10,30,81,8.3,1021.7,-16.1,0
Wanshouxigong,2013,3,10,11,32,81,9.6,1021.2,-15.1,0
Wanshouxigong,2013,3,10,12,30,81,10.2,1020.3,-15.4,0
Wanshouxigong,2013,3,10,13,22,81,10.7,1019.1,-14.9,0
Wanshouxigong,2013,3,10,14,22,79,11.2,1018.2,-14.5,0
Wanshouxigong,2013,3,10,15,37,85,11,1017.8,-14.7,0
Wanshouxigong,2013,3,10,16,39,85,10.5,1017.5,-13.6,0
Wanshouxigong,2013,3,10,17,46,85,9.2,1017.4,-13.3,0
Wanshouxigong,2013,3,10,18,51,85,8.2,1017.7,-12.9,0
Wanshouxigong,2013,3,10,19,66,85,6.7,1018,-11.5,0
Wanshouxigong,2013,3,10,20,69,85,5.9,1018.3,-10.8,0
Wanshouxigong,2013,3,10,21,66,85,4.8,1018.4,-10.5,0
Wanshouxigong,2013,3,10,22,78,85,4.4,1017.8,-10.1,0
Wanshouxigong,2013,3,10,23,87,85,3.3,1017.9,-10,0
Wanshouxigong,2013,3,11,0,98,85,2,1017.9,-9.6,0
Wanshouxigong,2013,3,11,1,104,85,1.1,1017.3,-9,0
Wanshouxigong,2013,3,11,2,110,85,0.4,1016.6,-8.8,0
Wanshouxigong,2013,3,11,3,114,85,-1.1,1016.3,-8.5,0
Wanshouxigong,2013,3,11,4,111,85,-1.9,1016.1,-8,0
Wanshouxigong,2013,3,11,5,112,85,-2.5,1016.2,-7.8,0
Wanshouxigong,2013,3,11,6,97,85,-2.1,1016.2,-7.2,0
Wanshouxigong,2013,3,11,7,89,85,-0.2,1016.4,-7,0
Wanshouxigong,2013,3,11,8,98,85,3.8,1016.4,-7.7,0
Wanshouxigong,2013,3,11,9,103,85,5.9,1015.9,-7.4,0
Wanshouxigong,2013,3,11,10,92,85,7.3,1015,-8.3,0
Wanshouxigong,2013,3,11,11,105,85,9.1,1013.9,-9,0
Wanshouxigong,2013,3,11,12,136,85,10.4,1012.5,-8.3,0
Wanshouxigong,2013,3,11,13,132,85,11,1011.3,-7.8,0
Wanshouxigong,2013,3,11,14,118,85,10.7,1010.1,-7.1,0
Wanshouxigong,2013,3,11,15,106,80,11.1,1009.3,-6.8,0
Wanshouxigong,2013,3,11,16,123,74,10.5,1008.5,-6.4,0
Wanshouxigong,2013,3,11,17,144,74,9.6,1008.8,-5.9,0
Wanshouxigong,2013,3,11,18,145,51,9.5,1009,-6.4,0
Wanshouxigong,2013,3,11,19,156,47,9.4,1009.2,-6.1,0
Wanshouxigong,2013,3,11,20,188,47,9.3,1009.5,-5.8,0
Wanshouxigong,2013,3,11,21,191,47,8.8,1009,-4.1,0
Wanshouxigong,2013,3,11,22,131,47,8.7,1008.5,-5.6,0
Wanshouxigong,2013,3,11,23,82,47,7.2,1007.3,-5.5,0
Wanshouxigong,2013,3,12,0,101,47,5.5,1006.5,-5.2,0
Wanshouxigong,2013,3,12,1,122,47,7.3,1006.1,-5.4,0
Wanshouxigong,2013,3,12,2,105,47,7.1,1005,-5,0
Wanshouxigong,2013,3,12,3,106,47,6.8,1004.8,-4.3,0
Wanshouxigong,2013,3,12,4,90,47,4.7,1005.6,0.1,1.4
Wanshouxigong,2013,3,12,5,103,47,3.7,1005.3,1.7,1.2
Wanshouxigong,2013,3,12,6,98,47,3.2,1005.9,2.2,1.5
Wanshouxigong,2013,3,12,7,125,47,2.8,1005.8,1.9,2
Wanshouxigong,2013,3,12,8,120,47,3.4,1005.7,2.5,0.2
Wanshouxigong,2013,3,12,9,120,47,4,1005.9,2.5,0
Wanshouxigong,2013,3,12,10,130,47,4.4,1005.9,2.7,0.3
Wanshouxigong,2013,3,12,11,137,47,4.6,1005.7,2.9,0
Wanshouxigong,2013,3,12,12,136,47,5.3,1005.8,3.3,0
Wanshouxigong,2013,3,12,13,152,47,5.5,1005.7,3,0
Wanshouxigong,2013,3,12,14,133,44,6.2,1006.2,3.2,0
Wanshouxigong,2013,3,12,15,124,32,6.4,1006.9,3.5,0
Wanshouxigong,2013,3,12,16,136,22,7.2,1007.2,3.8,0
Wanshouxigong,2013,3,12,17,135,22,6.9,1008.2,3.5,0
Wanshouxigong,2013,3,12,18,137,4,4.8,1010.2,2.8,0
Wanshouxigong,2013,3,12,19,134,4,4.3,1011.6,2.5,0
Wanshouxigong,2013,3,12,20,126,4,5.3,1013.5,3.1,0
Wanshouxigong,2013,3,12,21,141,4,4.4,1014.7,2.3,0
Wanshouxigong,2013,3,12,22,147,4,5.1,1015.8,-0.3,0
Wanshouxigong,2013,3,12,23,111,4,5,1016.6,-6,0
Wanshouxigong,2013,3,13,0,27,26,4.8,1017.3,-8,0
Wanshouxigong,2013,3,13,1,10,48,4.2,1017.7,-9.6,0
Wanshouxigong,2013,3,13,2,9,54,3.4,1018.1,-9.6,0
Wanshouxigong,2013,3,13,3,9,54,2.9,1018.7,-9.4,0
Wanshouxigong,2013,3,13,4,12,54,2.3,1019.7,-9.9,0
Wanshouxigong,2013,3,13,5,11,54,1.6,1020.3,-10.3,0
Wanshouxigong,2013,3,13,6,12,54,1.6,1021.3,-9.1,0
Wanshouxigong,2013,3,13,7,11,54,3.9,1022.7,-10.2,0
Wanshouxigong,2013,3,13,8,3,54,4.8,1023.8,-11.3,0
Wanshouxigong,2013,3,13,9,18,54,5.1,1024.4,-11.5,0
Wanshouxigong,2013,3,13,10,16,54,6.1,1024.2,-12.5,0
Wanshouxigong,2013,3,13,11,14,59,6.8,1023.5,-14.1,0
Wanshouxigong,2013,3,13,12,20,66,7.3,1022.8,-13.6,0
Wanshouxigong,2013,3,13,13,20,70,7.9,1022.1,-13.7,0
Wanshouxigong,2013,3,13,14,12,74,8.6,1021.5,-13.8,0
Wanshouxigong,2013,3,13,15,15,75,9,1021,-13.4,0
Wanshouxigong,2013,3,13,16,21,75,8.5,1021.2,-11.5,0
Wanshouxigong,2013,3,13,17,26,75,6.8,1021.6,-10.9,0
Wanshouxigong,2013,3,13,18,34,75,5.7,1022.3,-9.7,0
Wanshouxigong,2013,3,13,19,36,75,4.8,1022.9,-10.1,0
Wanshouxigong,2013,3,13,20,31,75,4.3,1023.3,-9.8,0
Wanshouxigong,2013,3,13,21,46,75,3.9,1023.6,-8.5,0
Wanshouxigong,2013,3,13,22,53,75,3,1023.5,-7.2,0
Wanshouxigong,2013,3,13,23,55,75,2.8,1023.7,-4.4,0
Wanshouxigong,2013,3,14,0,73,75,1.5,1023.7,-4,0
Wanshouxigong,2013,3,14,1,64,75,0.9,1023.8,-4.3,0
Wanshouxigong,2013,3,14,2,68,75,0.8,1023.4,-5.2,0
Wanshouxigong,2013,3,14,3,74,75,0.8,1023,-5.7,0
Wanshouxigong,2013,3,14,4,72,75,1.2,1023,-5.5,0
Wanshouxigong,2013,3,14,5,75,75,1.3,1023.3,-5.6,0
Wanshouxigong,2013,3,14,6,83,75,1.1,1023.3,-4.4,0
Wanshouxigong,2013,3,14,7,76,75,1.1,1023.8,-4.4,0
Wanshouxigong,2013,3,14,8,60,75,1.6,1023.9,-4.3,0
Wanshouxigong,2013,3,14,9,63,75,3,1023.5,-4.5,0
Wanshouxigong,2013,3,14,10,68,75,4.5,1022.4,-4.3,0
Wanshouxigong,2013,3,14,11,77,75,6,1021.5,-4.5,0
Wanshouxigong,2013,3,14,12,85,75,7.7,1020.4,-5.1,0
Wanshouxigong,2013,3,14,13,108,75,8.7,1019.2,-5.9,0
Wanshouxigong,2013,3,14,14,102,75,9.4,1018.3,-5.3,0
Wanshouxigong,2013,3,14,15,75,72,9.1,1017.7,-5.6,0
Wanshouxigong,2013,3,14,16,80,59,8.5,1017.4,-4.7,0
Wanshouxigong,2013,3,14,17,82,50,7.6,1017.5,-3.6,0
Wanshouxigong,2013,3,14,18,90,50,6.6,1017.6,-3.6,0
Wanshouxigong,2013,3,14,19,95,50,5.9,1017.7,-3.2,0
Wanshouxigong,2013,3,14,20,95,50,5.4,1017.6,-2.7,0
Wanshouxigong,2013,3,14,21,102,50,5,1017.5,-2.1,0
Wanshouxigong,2013,3,14,22,151,50,4.1,1017.3,-2.3,0
Wanshouxigong,2013,3,14,23,136,50,1.3,1017.1,-1.9,0
Wanshouxigong,2013,3,15,0,140,50,0.4,1016.8,-1.5,0
Wanshouxigong,2013,3,15,1,139,50,0,1016.3,-1.6,0
Wanshouxigong,2013,3,15,2,142,50,0,1015.8,-1.8,0
Wanshouxigong,2013,3,15,3,144,50,1.8,1015.3,-2.2,0
Wanshouxigong,2013,3,15,4,151,50,2.4,1015.3,-2.7,0
Wanshouxigong,2013,3,15,5,161,50,2,1015.4,-2.9,0
Wanshouxigong,2013,3,15,6,156,50,-0.1,1015,-2.6,0
Wanshouxigong,2013,3,15,7,140,50,1.8,1015.5,-1.3,0
Wanshouxigong,2013,3,15,8,135,50,5.4,1015.5,-2,0
Wanshouxigong,2013,3,15,9,134,50,7,1014.9,-3,0
Wanshouxigong,2013,3,15,10,135,2,8.3,1014,-2.4,0
Wanshouxigong,2013,3,15,11,146,6,9.5,1013.2,-2.5,0
Wanshouxigong,2013,3,15,12,212,8,10.6,1012.3,-2.1,0
Wanshouxigong,2013,3,15,13,3,50,11.4,1011.1,-1.4,0
Wanshouxigong,2013,3,15,14,3,50,11.7,1010.5,-0.5,0
Wanshouxigong,2013,3,15,15,166,42,11.6,1010.2,-0.3,0
Wanshouxigong,2013,3,15,16,230,48,11.1,1010.2,0.5,0
Wanshouxigong,2013,3,15,17,262,49,10.7,1010.5,0.7,0
Wanshouxigong,2013,3,15,18,275,49,8.7,1011.1,1.1,0
Wanshouxigong,2013,3,15,19,283,49,7,1011.8,1.5,0
Wanshouxigong,2013,3,15,20,290,49,6,1012.8,1.7,0
Wanshouxigong,2013,3,15,21,263,49,5.5,1013.6,1,0
Wanshouxigong,2013,3,15,22,269,49,4.9,1014.3,1.2,0
Wanshouxigong,2013,3,15,23,230,49,7.8,1014.6,0.7,0
Wanshouxigong,2013,3,16,0,293,49,7.8,1014.7,0.7,0
Wanshouxigong,2013,3,16,1,328,49,7.7,1014.9,0.9,0
Wanshouxigong,2013,3,16,2,284,49,7.3,1015.3,0.7,0
Wanshouxigong,2013,3,16,3,272,49,7.6,1016,0.1,0
Wanshouxigong,2013,3,16,4,263,49,7,1016.6,0,0
Wanshouxigong,2013,3,16,5,260,49,7.2,1017.5,-0.1,0
Wanshouxigong,2013,3,16,6,257,49,6.9,1018.3,-0.3,0
Wanshouxigong,2013,3,16,7,256,49,7.6,1019.3,0.1,0
Wanshouxigong,2013,3,16,8,256,49,9.1,1019.7,0.3,0
Wanshouxigong,2013,3,16,9,258,49,11.5,1019.9,-0.7,0
Wanshouxigong,2013,3,16,10,282,49,12.7,1019.5,-0.2,0
